user_id,predictor_tags
1,"<ios>,<java>,<javascript>,<html>,<jquery>,<objective-c>,<android>,<python>,<php>,<c#>"
2,"<mysql>,<mybatis>,<spring>,<php>,<sql>,<c#>,<管理系统>,<javascript>,<java>,<c>"
3,"<管理系统>,<java>,<maven>,<shiro>,<mybatis>,<bootstrap>,<spring>,<redis>,<数据库>,<mysql>"
4,"<java>,<jquery>,<php>,<android>,<css3>,<ios>,<python>,<c#>,<javascript>,<angularjs>"
5,"<mysql>,<java>,<mybatis>,<spring>,<管理系统>,<php>,<sql>,<数据库>,<c#>,<eclipse>"
6,"<javascript>,<java>,<python>,<php>,<html>,<mybatis>,<spring>,<android>,<eclipse>,<jquery>"
7,"<mybatis>,<spring>,<oracle>,<管理系统>,<java>,<sql>,<php>,<c#>,<redis>,<mysql>"
8,"<java>,<app>,<linux>,<ios>,<maven>,<php>,<objective-c>,<c++>,<eclipse>,<android>"
9,"<android>,<iphone>,<ios>,<objective-c>,<app>,<javascript>,<java>,<xcode>,<swift>,<php>"
10,"<android>,<php>,<css>,<c#>,<jquery>,<ios>,<c++>,<javascript>,<r>,<regex>"
11,"<php>,<mysql>,<javascript>,<c#>,<管理系统>,<python>,<html>,<app>,<sql>,<mybatis>"
12,"<mybatis>,<spring>,<java>,<android>,<数据库>,<php>,<javascript>,<python>,<maven>,<c#>"
13,"<php>,<java>,<python>,<c++>,<mysql>,<javascript>,<c#>,<spring>,<管理系统>,<c>"
14,"<mybatis>,<spring>,<数据库>,<java>,<php>,<javascript>,<python>,<c#>,<shiro>,<mysql>"
15,"<java>,<python>,<android>,<mysql>,<jquery>,<html>,<c++>,<sql>,<css>,<javascript>"
16,"<javascript>,<java>,<python>,<sql>,<html>,<jquery>,<database>,<c#>,<数据库>,<管理系统>"
17,"<c++>,<php>,<java>,<python>,<javascript>,<c#>,<objective-c>,<app>,<cordova>,<jquery>"
18,"<html>,<php>,<android>,<ios>,<java>,<angularjs>,<python>,<javascript>,<c#>,<wordpress>"
19,"<java>,<javascript>,<jquery>,<python>,<php>,<android>,<ios>,<css>,<html>,<c#>"
20,"<shiro>,<java>,<管理系统>,<maven>,<mybatis>,<bootstrap>,<spring>,<mysql>,<redis>,<数据库>"
